Name,Paleographic features
3051,ב:leg:angular
3051,ב:leg:angular
3062,ב:leg:angular
3007,ב:leg:curved
3008,ב:leg:curved
2028,ב:leg:curved
2028,ב:leg:curved
2031,ב:leg:curved
2039,ב:leg:curved
2040,ב:leg:curved
2044,ב:leg:curved
2046,ב:leg:curved
2047,ב:leg:curved
2067,ב:leg:curved
2172,ב:leg:curved
3044,ב:leg:curved
2004,ג:additional:protruding crossbar
1045,ג:body:inclination:oblique
2003,ג:body:inclination:oblique
2004,ג:body:inclination:oblique
2026,ג:body:inclination:oblique
2073,ג:body:inclination:oblique
2083,ג:body:inclination:oblique
3030,ג:body:inclination:oblique
1001,ג:body:inclination:vertical
1026,ג:body:inclination:vertical
3005,ג:body:inclination:vertical
1059,ג:body:inclination:vertical
2028,ג:body:inclination:vertical
2037,ג:body:inclination:vertical
2040,ג:body:inclination:vertical
2040,ג:body:inclination:vertical
2041,ג:body:inclination:vertical
2052,ג:body:inclination:vertical
2059,ג:body:inclination:vertical
3020,ג:body:inclination:vertical
3047,ג:body:inclination:vertical
1059,ג:head:angle:acute
2028,ג:head:angle:acute
2040,ג:head:angle:acute
2040,ג:head:angle:acute
2059,ג:head:angle:acute
3020,ג:head:angle:acute
3030,ג:head:angle:acute
1001,ג:head:angle:right
1026,ג:head:angle:right
3005,ג:head:angle:right
1045,ג:head:angle:right
2003,ג:head:angle:right
2004,ג:head:angle:right
2026,ג:head:angle:right
2037,ג:head:angle:right
2041,ג:head:angle:right
2052,ג:head:angle:right
2073,ג:head:angle:right
2083,ג:head:angle:right
3047,ג:head:angle:right
1026,ג:head:length:middle/long
2037,ג:head:length:middle/long
3030,ג:head:length:middle/long
3047,ג:head:length:middle/long
1001,ג:head:length:short
3005,ג:head:length:short
1045,ג:head:length:short
1059,ג:head:length:short
2003,ג:head:length:short
2004,ג:head:length:short
2026,ג:head:length:short
2040,ג:head:length:short
2040,ג:head:length:short
2041,ג:head:length:short
2052,ג:head:length:short
2059,ג:head:length:short
2073,ג:head:length:short
2083,ג:head:length:short
3020,ג:head:length:short
3058,ד:additional:head and shaft disconnected above
1009,ד:additional:upper right head protrusion
1014,ד:additional:upper right head protrusion
1020,ד:additional:upper right head protrusion
1044,ד:additional:upper right head protrusion
2004,ד:additional:upper right head protrusion
2028,ד:additional:upper right head protrusion
2037,ד:additional:upper right head protrusion
2049,ד:additional:upper right head protrusion
2054,ד:additional:upper right head protrusion
2061,ד:additional:upper right head protrusion
2073,ד:additional:upper right head protrusion
2083,ד:additional:upper right head protrusion
2084,ד:additional:upper right head protrusion
2087,ד:additional:upper right head protrusion
2088,ד:additional:upper right head protrusion
2125,ד:additional:upper right head protrusion
2161,ד:additional:upper right head protrusion
2172,ד:additional:upper right head protrusion
2173,ד:additional:upper right head protrusion
2190,ד:additional:upper right head protrusion
1044,ד:additional:with foot
1007,ד:body:inclination:oblique
1009,ד:body:inclination:oblique
1014,ד:body:inclination:oblique
1025,ד:body:inclination:oblique
3004,ד:body:inclination:oblique
1044,ד:body:inclination:oblique
2004,ד:body:inclination:oblique
2049,ד:body:inclination:oblique
2054,ד:body:inclination:oblique
2061,ד:body:inclination:oblique
2073,ד:body:inclination:oblique
2083,ד:body:inclination:oblique
2084,ד:body:inclination:oblique
2087,ד:body:inclination:oblique
2088,ד:body:inclination:oblique
2125,ד:body:inclination:oblique
2136,ד:body:inclination:oblique
2147,ד:body:inclination:oblique
2155,ד:body:inclination:oblique
2161,ד:body:inclination:oblique
2172,ד:body:inclination:oblique
2173,ד:body:inclination:oblique
2190,ד:body:inclination:oblique
3018,ד:body:inclination:oblique
3026,ד:body:inclination:oblique
3052,ד:body:inclination:oblique
3058,ד:body:inclination:oblique
1004,ד:body:inclination:vertical
1020,ד:body:inclination:vertical
2028,ד:body:inclination:vertical
2037,ד:body:inclination:vertical
2083,ד:body:inclination:vertical
3015,ד:body:inclination:vertical
1009,ד:head:shape:quarter-circle
1014,ד:head:shape:quarter-circle
2004,ד:head:shape:quarter-circle
2028,ד:head:shape:quarter-circle
2049,ד:head:shape:quarter-circle
2054,ד:head:shape:quarter-circle
2061,ד:head:shape:quarter-circle
2073,ד:head:shape:quarter-circle
2190,ד:head:shape:quarter-circle
1025,ד:head:shape:round
2083,ד:head:shape:round
2083,ד:head:shape:round
2084,ד:head:shape:round
2125,ד:head:shape:round
2136,ד:head:shape:round
1004,ד:head:shape:triangular
1007,ד:head:shape:triangular
1020,ד:head:shape:triangular
3004,ד:head:shape:triangular
1044,ד:head:shape:triangular
2037,ד:head:shape:triangular
2087,ד:head:shape:triangular
2088,ד:head:shape:triangular
2147,ד:head:shape:triangular
2155,ד:head:shape:triangular
2161,ד:head:shape:triangular
3015,ד:head:shape:triangular
2172,ד:head:shape:triangular
2173,ד:head:shape:triangular
3018,ד:head:shape:triangular
3026,ד:head:shape:triangular
3052,ד:head:shape:triangular
3058,ד:head:shape:triangular
1014,ד:stem:middle/long
1020,ד:stem:middle/long
1044,ד:stem:middle/long
2028,ד:stem:middle/long
2037,ד:stem:middle/long
2054,ד:stem:middle/long
3018,ד:stem:middle/long
3026,ד:stem:middle/long
3052,ד:stem:middle/long
3058,ד:stem:middle/long
1004,ד:stem:short
1007,ד:stem:short
1009,ד:stem:short
1025,ד:stem:short
3004,ד:stem:short
2004,ד:stem:short
2049,ד:stem:short
2061,ד:stem:short
2073,ד:stem:short
2083,ד:stem:short
2083,ד:stem:short
2084,ד:stem:short
2087,ד:stem:short
2088,ד:stem:short
2136,ד:stem:short
2147,ד:stem:short
2155,ד:stem:short
2161,ד:stem:short
3015,ד:stem:short
2172,ד:stem:short
2173,ד:stem:short
2190,ד:stem:short
1033,ה:additional:converging
1034,ה:additional:converging
1039,ה:additional:converging
2005,ה:additional:converging
3058,ה:additional:converging
3062,ה:additional:converging
1013,ה:additional:increasing strokes
1024,ה:additional:increasing strokes
1024,ה:additional:increasing strokes
1030,ה:additional:increasing strokes
2180,ה:additional:increasing strokes
1058,ה:additional:lengthening of the lower stroke
2004,ה:additional:lengthening of the lower stroke
2175,ה:additional:lengthening of the lower stroke
2181,ה:additional:lengthening of the lower stroke
2190,ה:additional:lengthening of the lower stroke
1009,ה:additional:lower horizontal stroke curving upward
1022,ה:additional:lower horizontal stroke curving upward
1032,ה:additional:lower horizontal stroke curving upward
1040,ה:additional:lower horizontal stroke curving upward
