Name,"Paleographic features"
"1011 Het-1","ח:horizontal strokes:number:three"
"1011 Het-1","ח:vertical protrusions:upper left"
"1011 Het-1","ח:vertical protrusions:lower right"
"1011 Kaf-1",כ:body:inclination:oblique
"1011 Kaf-1",כ:head:shape:trident
"1011 Kaf-1",כ:head:orientation:upward
"1011 Kaf-1",כ:tail:curved
"1011 Kaf-2",כ:body:inclination:oblique
"1011 Kaf-2",כ:head:shape:trident
"1011 Kaf-2",כ:head:orientation:upward
"1011 Kaf-2",כ:tail:curved
"1011 Kaf-2",כ:foot:footless
"1011 Lamed-1",ל:body:inclination:oblique
"1011 Lamed-1",ל:shaft:straight
"1011 Lamed-1",ל:foot:shape:angular
"1011 Lamed-1",ל:foot:inclination:downward
"1011 Lamed-2",ל:body:inclination:oblique
"1011 Lamed-2",ל:shaft:straight
"1011 Lamed-2",ל:foot:shape:angular
"1011 Lamed-2",ל:foot:inclination:downward
"1011 Mem-1",מ:body:inclination:oblique
"1011 Mem-1","מ:head:shape:crossed parallel strokes"
"1011 Mem-1",מ:tail:shape:curved
"1011 Mem-1","מ:foot:with foot"
"1011 Mem-2",מ:body:inclination:oblique
"1011 Mem-2","מ:head:shape:crossed parallel strokes"
"1011 Mem-2",מ:tail:shape:curved
"1011 Samek-1",ס:body:inclination:vertical
"1011 Samek-1","ס:horizontal strokes:number:three"
"1011 Samek-1","ס:horizontal strokes:shape:straight"
"1011 Samek-1","ס:shaft:not crossing the head"
"1011 Samek-1",ס:ticks:number:one
"1011 Samek-1","ס:ticks:lower tick type:long"
"1011 Samek-1","ס:ticks:lower tick shape:angular"
"1012 Ayin-1",ע:body:shape:teardrop
"1012 He-1",ה:body:inclination:oblique
"1012 He-1","ה:horizontal strokes:number:three"
"1012 He-1",ה:shaft:length:medium
"1012 He-1","ה:shaft:angle with strokes:acute"
"1012 He-1","ה:additional:shaft protruding upward"
"1012 He-1",ה:additional:increasing
"1012 He-1","ה:additional:upper horizontal stroke protruding rightward"
"1012 He-2",ה:body:inclination:oblique
"1012 He-2","ה:horizontal strokes:number:three"
"1012 He-2",ה:shaft:length:medium
"1012 He-2","ה:shaft:angle with strokes:right"
"1012 He-2","ה:additional:upper horizontal stroke protruding rightward"
"1012 He-2","ו–ה:additional:ligatures:waw-he ligature"
"1012 Lamed-1",ל:body:inclination:oblique
"1012 Lamed-1",ל:shaft:straight
"1012 Lamed-1",ל:foot:shape:angular
"1012 Lamed-1",ל:foot:inclination:downward
"1012 Pe-1",פ:body:inclination:oblique
"1012 Pe-1",פ:head:angle:right
"1012 Pe-1",פ:tail:shape:curved
"1012 Pe-1","פ:foot:with foot"
"1012 Pe-1","פ:additional:looping foot"
"1012 Shin-1",ש:body:inclination:oblique
"1012 Shin-1",ש:body:shape:w-shaped
"1012 Shin-1","ש:additional:one middle protrusion"
"1012 Shin-1","ש:additional:lower protrusions"
"1012 Shin-2",ש:body:inclination:oblique
"1012 Shin-2",ש:body:shape:w-shaped
"1012 Shin-2","ש:additional:one middle protrusion"
"1012 Shin-2","ש:additional:lower protrusions"
"1012 Tet-1","ט:central mark:+-shaped"
"1012 Waw-1",ו:body:inclination:vertical
"1012 Waw-1","ו:head:shape:square cup"
"1012 Waw-1","ו:additional:slanted head"
"1012 Waw-1","ו:nose:with nose"
"1012 Waw-2","ו:body:inclination:oblique leftward"
"1012 Waw-2",ו:head:shape:v-shaped
"1012 Waw-2","ו:nose:with nose"
"1012 Waw-2","ו–ה:additional:ligatures:waw-he ligature"
"1012 Yod-1","י:horizontal strokes:parallel horizontal"
"1012 Yod-1",י:body:inclination:oblique
"1012 Yod-1",י:foot:direction:upward
"1012 Yod-1",י:foot:length:medium
"1012 Yod-2","י:horizontal strokes:parallel horizontal"
"1012 Yod-2",י:body:inclination:vertical
"1012 Yod-2",י:foot:direction:upward
"1012 Yod-2",י:foot:length:long
"1012 Yod-2","י:additional:curved foot"
"1013 Aleph-1",א:body:inclination:vertical
"1013 Aleph-1",א:head:shape:parallel
"1013 Ayin-1",ע:body:shape:teardrop
"1013 Dalet-1",ד:body:inclination:oblique
"1013 Dalet-1",ד:head:shape:quarter-circle
"1013 Dalet-1",ד:stem:middle/long
"1013 Dalet-1","ד:additional:upper right head protrusion"
